#Freq       VDB(5)    
 302.E+03      776.05E-06   
 309.03E+03    812.72E-06   
 316.23E+03    851.12E-06   
 323.59E+03    891.33E-06   
 331.13E+03    933.44E-06   
 338.84E+03    977.53E-06   
 346.74E+03    0.0010237 
 354.81E+03    0.001072  
 363.08E+03    0.0011227 
 371.54E+03    0.0011757 
 380.19E+03    0.0012312 
 389.05E+03    0.0012893 
 398.11E+03    0.0013502 
 407.38E+03    0.0014139 
 416.87E+03    0.0014807 
 426.58E+03    0.0015505 
 436.52E+03    0.0016237 
 446.68E+03    0.0017004 
 457.09E+03    0.0017806 
 467.74E+03    0.0018646 
 478.63E+03    0.0019526 
 489.78E+03    0.0020448 
 501.19E+03    0.0021413 
 512.86E+03    0.0022423 
 524.81E+03    0.0023481 
 537.03E+03    0.0024589 
 549.54E+03    0.0025749 
 562.34E+03    0.0026964 
 575.44E+03    0.0028236 
 588.84E+03    0.0029569 
 602.56E+03    0.0030964 
 616.6E+03     0.0032424 
 630.96E+03    0.0033954 
 645.65E+03    0.0035556 
 660.69E+03    0.0037234 
 676.08E+03    0.003899  
 691.83E+03    0.004083  
 707.95E+03    0.0042756 
 724.44E+03    0.0044773 
 741.31E+03    0.0046886 
 758.58E+03    0.0049098 
 776.25E+03    0.0051414 
 794.33E+03    0.005384  
 812.83E+03    0.005638  
 831.76E+03    0.005904  
 851.14E+03    0.0061826 
 870.96E+03    0.0064744 
 891.25E+03    0.0067799 
 912.01E+03    0.0070998 
 933.25E+03    0.0074348 
 954.99E+03    0.0077857 
 977.24E+03    0.0081531 
 1.E+06      0.0085379 
 1.0233E+06  0.0089408 
 1.0471E+06  0.0093628 
 1.0715E+06  0.0098047 
 1.0965E+06  0.010268  
 1.122E+06   0.010752  
 1.1482E+06  0.01126   
 1.1749E+06  0.011791  
 1.2023E+06  0.012348  
 1.2303E+06  0.012931  
 1.2589E+06  0.013542  
 1.2882E+06  0.014181  
 1.3183E+06  0.014851  
 1.349E+06   0.015552  
 1.3804E+06  0.016287  
 1.4125E+06  0.017056  
 1.4454E+06  0.017862  
 1.4791E+06  0.018706  
 1.5136E+06  0.01959   
 1.5488E+06  0.020516  
 1.5849E+06  0.021485  
 1.6218E+06  0.022501  
 1.6596E+06  0.023564  
 1.6982E+06  0.024678  
 1.7378E+06  0.025845  
 1.7783E+06  0.027068  
 1.8197E+06  0.028348  
 1.8621E+06  0.029689  
 1.9055E+06  0.031093  
 1.9498E+06  0.032564  
 1.9953E+06  0.034105  
 2.0417E+06  0.035719  
 2.0893E+06  0.03741   
 2.138E+06   0.039181  
 2.1878E+06  0.041037  
 2.2387E+06  0.04298   
 2.2909E+06  0.045016  
 2.3442E+06  0.047149  
 2.3988E+06  0.049383  
 2.4547E+06  0.051724  
 2.5119E+06  0.054176  
 2.5704E+06  0.056745  
 2.6303E+06  0.059436  
 2.6915E+06  0.062255  
 2.7542E+06  0.065209  
 2.8184E+06  0.068304  
 2.884E+06   0.071546  
 2.9512E+06  0.074943  
 3.02E+06    0.078502  
 3.0903E+06  0.08223   
 3.1623E+06  0.086137  
 3.2359E+06  0.090231  
 3.3113E+06  0.09452   
 3.3884E+06  0.099014  
 3.4674E+06  0.10372   
 3.5481E+06  0.10866   
 3.6308E+06  0.11383   
 3.7154E+06  0.11925   
 3.8019E+06  0.12492   
 3.8905E+06  0.13087   
 3.9811E+06  0.13711   
 4.0738E+06  0.14364   
 4.1687E+06  0.15048   
